dataset,inside_labels,unknown_labels,test_acc,test_acc_std,bayes_entropy,bayes_entropy_std,bayesian_std,bayes_std_std
mnist,"[0, 1, 4, 8]","[7, 9]",0.9896831245394252,0.0002456398919183922,0.7829709240006669,0.023722778663531858,0.8036316599602641,0.02399157897500657
mnist,"[0, 1, 6, 7]","[9, 3]",0.9892709095342601,0.0004223484046740513,0.9191744435531145,0.0022054461917341522,0.9207430519603564,0.0038214705305243918
mnist,"[0, 2, 4, 6]","[5, 9]",0.9822874493927126,0.0010121457489877667,0.9118680783811897,0.0057128000680007765,0.9055421959330824,0.0036882750986527543
mnist,"[0, 3, 6, 9]","[1, 5]",0.9834049363996292,0.0007295302870730887,0.7546414866173216,0.0038381237245774654,0.7672921676937282,0.003284355947174166
mnist,"[0, 3, 7, 8]","[5, 6]",0.9842184368737475,0.0006627633544751772,0.8665579468181276,0.012223399713437303,0.8731652246384787,0.010983099669525332
mnist,"[0, 4, 5, 6]","[1, 3]",0.9799755159146555,0.0006058239970510252,0.856874827351489,0.014627697043184897,0.858304924855234,0.013984266058749873
mnist,"[0, 5, 6, 9]","[3, 2]",0.9838499609273249,0.0027195380330582645,0.7998318903577343,0.001970911173025093,0.8015095366904834,0.001907348113600591
mnist,"[1, 2, 6, 8]","[4, 9]",0.9821907782385947,0.0015997654365215853,0.8549084773393463,0.010185051016645089,0.8551150055225684,0.0075260743907080456
mnist,"[1, 3, 5, 7]","[8, 2]",0.9825338253382534,0.00024600246002451365,0.8795664960798866,0.009669414198146648,0.8758707842766689,0.009793169427486186
mnist,"[1, 5, 6, 7]","[8, 4]",0.9865437328681784,0.000498380264141618,0.8499719463211384,0.007803003767473258,0.8599398819688719,0.008293187000692079
mnist,"[1, 6, 8, 9]","[4, 3]",0.9828263002944063,0.0009813542688910104,0.8125093818601489,0.0005116104453658195,0.8152501044921986,0.00043933553700295296
mnist,"[2, 3, 6, 8]","[5, 0]",0.984063076664989,0.000581127598580461,0.860394928189249,0.004988548715374899,0.8638889000516823,0.0059854574551300044
mnist,"[2, 3, 7, 8]","[0, 9]",0.9822782723376197,0.001168599314108013,0.8650247688204376,0.0035144138650393406,0.8643013282598141,0.005979605951545168
mnist,"[2, 4, 7, 8]","[3, 6]",0.9822377158034529,0.000800435820135472,0.880817925691769,0.009024218255824513,0.8885016915773375,0.008955831422003489
mnist,"[2, 5, 7, 9]","[8, 0]",0.9823276950265084,0.0013359006872328118,0.8351487697607439,0.00921179523503576,0.8370465034034291,0.007814975591376514
mnist,"[2, 6, 7, 8]","[5, 3]",0.9822979291917168,0.0007652932022305289,0.8802125551658376,0.004221264946591863,0.8867360987480796,0.004590193809903952
mnist,"[3, 4, 7, 8]","[9, 2]",0.9825571690869638,0.0032193793226482736,0.847725225360641,0.01759364720623187,0.856789395915623,0.015736152314358026
mnist,"[3, 4, 8, 9]","[0, 7]",0.9842348008385744,0.0009524374584150354,0.8163860724250442,0.0006205858799212868,0.8194471342926405,0.0019329058132635723
mnist,"[3, 5, 7, 8]","[2, 4]",0.9810450819672131,0.0013554053847666476,0.8952411610691785,0.008545910231276039,0.8911100500698517,0.010093419130599838
mnist,"[4, 6, 8, 9]","[1, 2]",0.9818166369275213,0.0010301942096168878,0.8248778698617674,0.01161777630966129,0.8260132939574171,0.012062096496871505
